;за январь 2025 года;;;;;за февраль 2025 года;;;;;за март 2025 года;;;;;за апрель 2025 года;;;;;за май 2025 года;;;;;за июнь 2025 года;;;;;за июль 2025 года;;;;;за август 2025 года;;;;;за сентябрь 2025 года;;;;;за октябрь 2025 года;;;;;за ноябрь 2025 года;;;;;;;;;
;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;;;;;
;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Алматинская ;1 864;593;;1 271;;3 389;1 806;;1 584;;6 881;3 947;;2 934;;14 085;4 493;;9 592;;6 621;2 713;;3 908;;11 720;3 511;;8 209;;7 845;2 332;;5 513;;13 443;5 856;;7 587;;7 083;3 504;;3 579;;7 109;2 470;;4 640;;8 389;5 495;;2 894;;;;;;
Атырауская;10 370;8 317;484;1 570;0;20 634;16 105;1 253;3 277;0;26 490;22 346;1 667;2 476;0;22 159;16 027;1 829;4 302;0;26 659;20 302;2 622;3 736;0;27 391;21 628;1 218;4 545;0;25 142;20 378;548;4 216;0;32 689;24 825;1 441;6 424;0;30 605;20 767;553;9 285;0;29 895;23 743;197;5 955;0;29 383;21 797;2 737;4 849;0;;;;;
Восточно-Казахстанская;12 827;10 991;;1 836;0;14 730;12 708;0;2 022;0;18 936;13 867;;5 069;0;23 678;20 051;;3 627;0;26 434;22 641;;3 793;0;30 561;27 808;;2 753;0;22 432;11 995;;3 674;6 763;17 725;13 880;;3 845;0;26 712;17 957;;8 755;0;16 911;12 196;;4 715;0;23 811;17 584;;6 228;0;;;;;
Жамбылская;4 650;2 677;284;1 690;;7 084;5 192;25;1 867;;6 208;4 755;;1 453;;7 575;5 289;622;1 665;;5 331;3 821;0;1 510;;10 822;7 268;;3 554;;8 621;5 372;;3 249;;9 696;6 745;;2 952;;11 851;6 422;2 790;2 639;;14 880;7 875;2 682;4 324;;14 401;7 878;1 240;5 284;;;;;;
Жетысу;3 337;2 343;;994;;4 606;3 042;;1 564;;4 570;3 548;;1 022;;6 660;4 482;;2 179;;4 133;2 534;;1 600;;5 001;3 445;;1 556;0;5 586;4 274;;1 311;0;3 618;3 017;;600;0;5 296;3 797;;1 499;0;8 484;5 775;;2 709;0;5 187;3 487;;1 700;0;;;;;
Западно-Казахстанская;13 874;11 893;978;1 002;0;22 027;18 135;792;3 100;0;21 139;17 029;659;3 451;0;25 917;20 128;274;3 429;2 085;37 444;34 069;259;2 462;653;31 766;26 489;143;4 474;660;37 803;28 806;90;6 523;2 384;37 011;32 610;357;3 187;856;52 627;33 408;633;6 603;11 983;36 602;31 061;817;4 033;691;38 761;30 840;210;7 574;137;;;;;
Карагандинская ;24 098;19 741;0;4 357;0;40 246;19 042;5 152;6 026;10 026;47 187;21 623;15;3 138;22 412;60 050;32 942;15;5 611;21 481;53 977;29 718;41;5 894;18 324;62 190;34 728;0;7 927;19 534;50 675;31 534;0;8 518;10 624;39 053;31 151;0;7 902;0;50 193;36 566;5 660;7 967;0;97 423;34 361;26 959;11 991;24 112;39 607;29 135;59;10 413;0;;;;;
Костанайская;13 666;9 139;129;4 397;0;18 979;14 278;61;4 640;0;19 237;13 378;94;5 765;0;40 726;20 863;10;19 853;0;27 068;19 120;0;7 947;0;22 812;16 673;205;5 935;0;29 435;23 074;0;6 361;0;21 184;14 656;;6 528;0;26 354;17 908;1 563;6 883;0;30 948;16 942;585;13 421;0;30 348;20 917;544;8 887;0;;;;;
Кызылординская;2 593;1 981;;613;0;7 260;3 356;;3 904;0;5 267;4 163;;1 105;0;5 429;3 875;;1 554;0;5 854;3 156;;2 698;0;5 808;3 540;;2 268;0;8 837;4 017;;4 819;;6 117;3 331;;2 786;;7 297;4 738;;2 559;;5 505;3 631;;1 874;;6 103;4 344;;1 760;;;;;;
Мангистауская;7 701;3 973;705;2 827;196;14 028;3 691;1 083;4 202;5 053;10 277;5 958;1 478;2 841;0;12 553;5 356;1 154;5 963;81;10 722;6 595;1 656;2 423;48;13 611;6 814;814;3 909;2 073;10 869;5 229;1 359;3 652;629;19 016;7 649;1 632;7 936;1 799;12 287;7 496;1 144;3 647;0;13 673;5 772;1 074;6 827;0;17 710;6 431;1 983;7 845;1 451;;;;;
