Всего по республике:;2 365 416;843 189;69 591;1 400 807;51 828;2 914 555;961 140;140 519;1 707 820;105 076;2 630 123;1 050 233;153 730;1 388 872;37 288;2 870 413;1 177 159;196 770;1 447 545;48 940;2 780 829;1 154 223;142 751;1 446 012;37 843;3 040 089;1 131 723;222 603;1 616 356;69 407;3 132 601;1 218 212;121 928;1 744 267;48 194;3 109 071;1 195 678;138 904;1 683 783;90 705;3 211 820;1 264 445;119 416;1 701 190;126 769;3 178 487;1 140 933;199 014;1 774 378;64 162;3 638 089;1 404 328;192 869;1 858 438;182 454;4 023 903;1 383 778;309 770;2 206 055;124 300;36 895 396;13 925 042;2 007 865;19 975 521;986 967
Атырауская;14 421;4 978;1 362;8 081;0;22 701;9 578;2 020;11 103;0;21 382;18 592;732;2 058;0;21 127;15 851;1 976;3 300;0;24 368;19 980;1 219;3 169;0;20 423;14 188;2 677;3 558;0;23 087;17 338;1 517;4 233;0;23 307;18 595;1 839;2 874;0;23 835;17 807;2 216;3 813;0;27 620;20 154;2 893;4 572;0;30 425;21 686;2 909;5 830;0;31 429;21 584;2 545;7 301;0;284 125;200 330;23 905;59 891;0
Восточно-Казахстанская;12 009;4 688;0;7 321;0;30 173;11 891;0;18 281;0;15 565;12 296;0;1 920;1 349;20 331;17 531;0;2 799;0;18 052;14 269;;3 782;0;37 538;33 190;;4 348;0;10 133;8 111;;2 022;0;39 875;37 456;0;2 419;0;17 851;13 638;;4 213;0;14 229;11 551;;2 678;0;16 151;13 107;;3 044;0;37 715;31 582;0;6 133;0;269 622;209 311;0;58 962;1 349
Жамбылская;3 342;1 723;339;1 280;;4 975;2 613;113;2 249;;5 099;4 349;212;539;;5 405;3 082;358;1 965;;5 252;2 917;18;2 318;;8 671;4 514;761;3 395;;5 245;2 386;76;2 783;;5 351;3 019;154;2 178;;7 675;4 077;0;3 598;;7 619;4 427;245;2 947;;8 490;5 401;743;2 345;;10 626;7 505;59;3 063;;77 749;46 013;3 076;28 659;0
Жетысу;1 680;689;;991;;3 732;2 359;;1 148;224;2 555;2 018;;538;0;2 937;1 832;;1 105;0;3 228;2 311;;917;0;3 803;2 433;;1 370;0;5 446;2 024;;958;2 464;4 096;2 374;;1 722;0;3 187;2 234;;953;0;3 721;2 201;;1 520;0;4 565;2 689;;1 876;0;5 805;4 346;;1 459;;44 755;27 511;0;14 556;2 688
Западно-Казахстанская;22 048;18 082;145;3 821;0;22 097;17 143;312;4 642;0;20 699;17 304;239;3 156;0;33 228;25 894;837;6 496;0;30 979;25 949;704;4 326;0;22 580;17 399;1 082;4 099;0;24 638;21 234;43;3 361;0;24 909;22 159;62;2 688;0;26 332;23 204;7;3 121;0;25 828;23 627;254;1 947;0;32 729;28 887;176;3 666;0;29 035;23 325;1 274;4 435;0;315 102;264 208;5 137;45 757;0
Карагандинская ;19 359;13 190;0;6 169;0;27 556;21 419;0;6 136;0;20 069;16 780;0;3 289;0;157 861;28 115;124 876;4 870;0;53 070;26 088;19 952;7 031;0;53 091;24 328;23 879;4 884;0;54 475;22 192;25 149;7 134;0;35 131;26 446;3 917;4 768;0;38 032;31 659;0;6 373;0;34 279;27 523;54;6 702;0;38 292;23 398;0;9 373;5 521;58 257;42 300;0;15 957;0;589 472;303 438;197 826;82 687;5 521
Костанайская;15 427;5 348;0;10 079;0;18 861;7 430;0;11 131;299;25 936;19 981;;5 955;0;24 971;20 605;0;4 366;0;18 467;13 307;0;5 160;0;14 958;9 867;293;4 797;0;16 991;11 591;0;5 400;0;20 112;15 354;0;4 758;0;23 758;18 371;118;5 269;0;17 695;11 057;0;6 639;0;23 313;15 003;356;7 954;0;27 055;15 434;57;11 564;0;247 545;163 348;824;83 073;299
Кызылординская;3 588;1 874;0;1 714;;4 752;2 749;0;2 003;;4 339;3 540;;799;0;7 945;5 215;;2 730;0;4 347;2 918;;1 429;0;6 284;4 729;;1 555;0;5 908;3 798;;2 109;0;5 975;4 410;;1 565;0;6 821;5 063;;1 758;0;7 895;3 737;;4 159;0;7 466;4 578;;2 888;0;9 379;5 819;;3 560;0;74 698;48 429;0;26 269;0
Мангистауская;4 821;1 671;446;2 696;8;9 048;915;676;6 448;1 009;8 015;4 485;666;2 626;239;6 351;2 933;302;2 426;689;9 598;4 668;89;2 675;2 167;8 926;3 862;827;3 974;263;7 043;3 543;0;3 428;71;8 263;5 001;952;2 301;8;12 768;10 167;653;1 948;0;9 923;5 026;821;3 673;403;13 533;6 086;2 809;4 357;281;12 141;6 585;1 756;3 109;691;110 431;54 943;9 996;39 662;5 830
Павлодарская;19 454;15 753;0;3 701;0;25 649;20 189;0;5 460;0;24 177;21 231;0;2 947;0;25 462;20 787;0;4 674;0;23 568;20 530;0;3 039;0;21 722;17 962;0;3 760;0;21 479;17 606;0;3 873;0;29 895;26 350;0;3 546;0;20 015;17 129;0;2 886;0;20 802;17 419;0;3 384;0;23 431;18 661;0;4 769;0;29 950;21 290;0;8 660;0;285 605;234 907;0;50 698;0
