Всего по республике:;1 744 848;805 004;56 727;797 452;85 665;1 810 209;853 810;69 789;865 978;20 632;2 201 971;803 340;68 294;1 294 090;36 246;2 463 410;779 704;63 878;1 552 451;67 378;2 533 355;934 168;86 659;1 470 396;42 132;2 526 307;840 154;92 630;1 552 388;41 135;2 640 100;714 943;68 384;1 779 526;77 247;2 817 271;885 951;92 448;1 640 717;198 154;2 576 844;989 093;61 656;1 487 201;38 895;2 687 681;897 879;70 224;1 608 316;111 263;2 950 429;938 601;73 796;1 831 685;106 347;3 764 049;1 183 812;241 825;1 998 167;340 244;30 716 473;10 626 459;1 046 310;17 878 367;1 165 337;;
Жамбылская;3 220;2 237;;983;;3 651;2 195;;1 455;;4 738;2 386;;2 351;;4 130;1 666;;2 464;;4 904;2 126;;2 778;;4 032;2 284;;1 748;;4 351;2 183;;2 169;;4 971;2 733;;2 238;;4 859;1 933;;2 926;;7 972;2 277;;5 696;;6 735;2 973;147;3 615;;7 644;2 253;0;5 391;;61 207;27 246;147;33 814;0;;
Жетысу;901;620;;280;0;938;773;;165;0;1 691;823;;868;0;1 694;281;;1 413;0;1 321;597;;724;0;3 273;2 155;;1 117;0;3 590;1 422;;2 167;0;4 016;1 308;;2 709;;3 324;1 320;;2 004;;2 227;1 100;;1 128;;2 962;1 776;;1 186;;7 180;1 682;;5 497;;33 116;13 857;0;19 259;0;;
Западно-Казахстанская;19 315;18 243;0;1 072;0;17 817;16 483;0;1 334;0;23 734;17 922;0;5 811;0;38 224;30 821;0;7 402;0;25 427;18 024;0;7 403;0;20 325;13 992;39;6 294;0;16 927;10 191;76;6 660;0;27 617;20 706;106;6 804;0;25 005;18 612;74;6 319;0;22 472;12 866;89;9 517;0;23 325;17 240;53;6 032;0;47 840;35 217;129;12 493;0;308 026;230 318;567;77 142;0;;
Карагандинская ;12 677;11 012;0;1 664;0;17 540;15 100;0;2 419;20;23 114;13 614;0;8 435;1 066;26 183;17 141;0;8 795;247;23 786;16 050;0;7 462;274;24 687;17 698;0;6 989;0;81 146;13 605;0;7 102;60 438;35 817;17 358;0;7 235;11 224;30 140;16 878;0;13 262;0;27 785;16 289;0;11 496;0;26 981;14 791;0;12 190;0;52 027;36 295;0;15 732;0;381 884;205 832;0;102 781;73 270;;
Костанайская;11 214;8 395;0;2 820;0;15 327;12 460;0;2 867;;23 999;15 105;0;8 894;0;23 616;12 833;0;10 783;0;25 683;13 707;;11 976;0;14 763;7 392;0;7 371;0;17 306;7 840;;9 466;0;22 605;10 557;;12 048;0;15 840;6 408;0;9 433;0;25 820;10 825;0;14 996;0;19 140;8 375;0;10 765;0;29 925;13 816;0;16 109;0;245 239;127 712;0;117 527;0;;
Кызылординская;2 259;1 910;;349;0;4 268;3 298;;969;0;3 815;1 562;;2 253;0;4 341;2 135;;2 206;0;4 848;2 259;628;1 961;0;4 700;2 736;0;1 964;0;4 793;2 170;566;2 058;0;3 538;1 623;0;1 916;0;6 279;3 180;0;3 099;0;4 291;1 614;0;2 678;0;5 995;2 751;0;3 243;0;12 683;3 291;0;9 392;;61 809;28 529;1 193;32 086;0;;
Мангистауская;3 919;2 612;0;1 308;0;8 061;6 857;;1 204;0;7 560;2 220;;5 340;0;6 349;1 657;;4 692;0;12 482;2 838;;9 644;0;11 567;2 920;2 252;6 395;0;5 279;2 431;0;2 848;0;4 971;1 610;0;3 361;0;8 212;2 110;2 388;3 714;0;70 396;3 070;661;5 162;61 502;9 988;1 533;282;6 498;1 676;10 765;2 026;221;7 880;638;159 550;31 884;5 804;58 046;63 816;;
Павлодарская;19 640;18 114;0;1 526;0;20 934;19 500;0;1 433;0;22 656;16 530;0;6 126;0;24 145;14 876;450;8 819;0;21 866;16 075;0;5 790;0;22 064;15 897;0;6 167;0;20 181;15 741;0;4 440;0;23 728;16 996;0;6 731;0;27 217;20 132;490;6 595;0;27 945;18 333;454;9 157;0;29 112;19 040;0;10 072;0;26 887;18 850;0;8 037;0;286 374;210 086;1 394;74 893;0;;
Северо-Казахстанская;5 861;4 435;867;560;0;8 687;7 470;452;765;0;16 364;7 368;484;8 332;181;14 842;8 519;449;5 854;20;14 243;7 607;0;6 573;62;13 177;6 659;338;6 111;70;7 726;4 389;0;3 337;0;11 361;6 208;1 587;3 559;8;11 473;6 870;381;4 219;3;10 364;4 907;385;4 940;133;16 156;4 660;412;10 902;184;13 954;4 359;666;8 695;233;144 209;73 450;6 019;63 847;893;;
Туркестанская;139;0;;139;;336;135;;201;;955;81;;874;;4 057;3 312;;746;;355;57;;298;;661;99;;563;;532;2;;530;;1 983;2;;1 981;;1 146;79;;1 067;;1 991;973;;1 018;;2 811;108;;2 703;;3 323;371;;2 952;;18 290;5 218;0;13 072;0;;
